frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
0	0	3937	0	0	0	3923	0
1	0.016	0	0	0	0	0	0
2	0.032	390	158	0	30	0	390
3	0.048	1733	470	0	57	0	1733
4	0.064	780	179	0	41	0	780
5	0.08	0	0	0	0	0	0
6	0.096	0	0	0	0	0	0
7	0.112	0	0	0	0	0	0
8	0.128	0	0	0	0	0	0
9	0.144	0	0	0	0	0	0
10	0.16	0	0	0	0	0	0
11	0.176	0	0	0	0	0	0
12	0.192	0	0	0	0	0	0
13	0.208	0	0	0	0	0	0
14	0.224	238	72	0	22	0	238
15	0.24	567	134	0	63	0	567
16	0.256	137	26	0	40	0	137
17	0.272	0	0	0	0	0	0
18	0.288	0	0	0	0	0	0
19	0.304	0	0	0	0	0	0
20	0.32	0	0	0	0	0	0
21	0.336	0	0	0	0	0	0
22	0.352	0	0	0	0	0	0
23	0.368	0	0	0	0	0	0
24	0.384	0	0	0	0	0	0
25	0.4	0	0	0	0	0	0
26	0.416	0	0	0	0	0	0
27	0.432	78	11	0	10	0	78
28	0.448	0	0	0	0	0	0
29	0.464	0	0	0	0	0	0
30	0.48	0	0	0	0	0	0
31	0.496	0	0	0	0	0	0
32	0.512	3189	0	0	0	3054	0
33	0.528	122	19	0	83	27	68
34	0.544	1671	263	0	148	175	1434
35	0.56	962	105	0	160	72	807
36	0.576	179	18	0	104	31	117
37	0.592	158	23	0	133	29	107
38	0.608	94	5	0	84	31	36
39	0.624	87	0	0	0	34	24
40	0.64	96	0	0	0	37	29
41	0.656	98	0	0	0	42	29
42	0.672	68	0	0	0	26	25
43	0.688	64	0	0	0	30	32
44	0.704	54	0	0	0	24	27
45	0.72	41	0	0	0	17	21
46	0.736	758	83	0	113	62	674
47	0.752	62	4	0	1	23	35
48	0.768	63	10	0	32	16	39
49	0.784	77	7	0	77	23	46
50	0.8	38	0	0	0	17	19
51	0.816	44	0	0	0	19	22
52	0.832	20	0	0	0	9	10
53	0.848	36	0	0	0	14	18
54	0.864	46	0	0	0	18	23
55	0.88	36	0	0	0	14	18
56	0.896	22	0	0	0	9	11
57	0.912	32	0	0	0	13	16
58	0.928	98	7	0	7	14	79
59	0.944	28	2	0	54	7	18
60	0.96	39	7	0	1	10	29
61	0.976	20	0	0	0	8	10
62	0.992	20	0	0	0	10	10
63	1.008	1628	1	0	0	1330	15
64	1.024	34	2	0	1	11	22
65	1.04	798	119	0	198	222	524
66	1.056	522	58	0	115	105	386
67	1.072	196	27	0	171	61	109
68	1.088	211	28	0	143	49	150
69	1.104	118	17	0	152	37	69
70	1.12	78	10	0	132	29	44
71	1.136	64	9	0	42	17	38
72	1.152	41	4	0	1	9	29
73	1.168	38	5	0	71	7	25
74	1.184	21	0	0	0	10	11
75	1.2	19	0	0	0	9	10
76	1.216	13	1	0	1	4	7
